variable,estimate,se,zvalue,pvalue,ci_low,ci_high,oddRatio,name_short,EJ_category,name_long,tool
below_200_FPL,7.19147362986542,0.0833844116678448,86.2448206567924,0,7.03024610445818,7.35715550828269,1328.05883147607,Low Income (below 200% FPL),Socioeconomic Burden,below 200% Federal Poverty Line >= 65th percentile,CEJST
(Intercept),-30.5662496755547,0.359051584525842,-85.1305243950393,0,-31.275697024071,-29.8681660305872,5.31185771567112e-14,,,,DOE
avg_energy_burden,0.0181047840215904,0.000946296327376994,19.1322564590042,1.36055586014022e-81,0.0162533021186299,0.019962912843347,1.01826966919085,Energy Burden,Energy Burden,Energy Burden compare to income,DOE
avg_housing_burden,0.0110763992841385,0.000792035586479294,13.9847242639369,1.93224267824002e-44,0.00952575141460965,0.012630636828332,1.01113796971092,Housing Costs,Vulnerable Population,Housing Costs ,DOE
avg_transport_burden,-0.00249506890484172,0.00138837191354424,-1.79711853898881,0.072316803158079,-0.00521199950679495,0.000230624117169996,0.997508041192405,Transportation Costs,Energy Burden,Transportation Costs,DOE
coal_emp_rank,0.0324982119925905,0.00127950149369262,25.3991200110295,2.57895559321821e-142,0.0299983211562699,0.0350141434108463,1.03303204607337,Coal Employment,Fossil Dependence,Coal employmentb ,DOE
disability_pct,0.0224696727068871,0.000967355521715009,23.2279365781166,2.37765623620746e-119,0.0205779619664914,0.0243701194189815,1.02272401724307,Disabled Population,Vulnerable Population,Disabled population,DOE
ej_cancer,0.00355833343535698,0.000948980640533388,3.74963754092704,0.000177090347193613,0.00169823046783162,0.00541835820888628,1.00356467181957,Cancer Risk,Environment and Climate,Cancer Risk,DOE
ej_diesel,0.0318810736304656,0.00144140061102711,22.1181213512515,2.11556439168108e-108,0.0290616577224287,0.034712153022589,1.03239471904814,Diesel,Environment and Climate,Diesel,DOE
ej_npl,0.0197714149072525,0.000737271897854162,26.8169924349448,2.04764479560973e-158,0.0183293752029825,0.0212195799853093,1.01996816386014,Superfund Sites,Environment and Climate,NPL Proximity ,DOE
ej_pm25,-0.00548724752017595,0.000826110559661207,-6.64226774007865,3.08893187794695e-11,-0.00710766908801382,-0.00386920900744858,0.994527779923499,PM2.5,Environment and Climate,PM25 ,DOE
ej_remediation,0.0178543678264014,0.000812717687164311,21.9687206374182,5.7361562563453e-107,0.0162640883439394,0.0194500475142133,1.01801470989891,RMP Sites,Environment and Climate,RMP Proximity ,DOE
ej_traffic,0.00660453714142317,0.00104228367216036,6.33660232605761,2.34887206288474e-10,0.00456260640012106,0.00864848926354516,1.00662639519112,Traffic,Environment and Climate,Traffic Proximity ,DOE
ej_tsdf,0.0138618325220505,0.00107185332247825,12.9325834340844,2.94745739076094e-38,0.0117630086220598,0.0159648165744133,1.01395835319128,TSD facilities,Environment and Climate,TSDF Proximity ,DOE
ej_water,0.0213789690092412,0.000585891643610948,36.4896295114897,1.61957219441594e-291,0.0202345027784813,0.022531271466458,1.0216091364886,Water Discharge,Environment and Climate,Water Discharge ,DOE
fema_loss_of_life,0.0115664722863355,0.000777363434953572,14.8791051472936,4.5048444400268e-50,0.0100451781899465,0.0130925413721479,1.01163362257449,Loss of Life,Environment and Climate,Climate Hazards Loss of Life estimates ,DOE
food_desert_pct,0.0195250526263191,0.00133632162849362,14.6110428881772,2.38833810584635e-48,0.0169097949773044,0.0221483468456498,1.01971691312743,Food Desert,Vulnerable Population,Food Desert ,DOE
fossil_emp_rank,-0.00626395300284357,0.0012658701312944,-4.94833778599265,7.48499317983159e-07,-0.00874842243623139,-0.00378601970181519,0.993755624651602,Fossil Energy Employment,Fossil Dependence,Fossil energy employment,DOE
green_space,0.0110559273061587,0.00129920713114772,8.5097495550166,1.74309443315734e-17,0.00851287368329619,0.0136059329200698,1.01111726992855,Green Space,Vulnerable Population,Parks,DOE
grid_outage_duration,0.0158489896246416,0.00216222499018697,7.3299447081458,2.3024770634427e-13,0.0116204581537315,0.0200970657044901,1.01597525101728,Power Outage Duration,Energy Burden,Outage Duration,DOE
grid_outages_county,-0.00444488796526039,0.00229922120725227,-1.93321458206814,0.0532097691413971,-0.00896111969741784,5.25181903625477e-05,0.995564975929204,Power Outage Events,Energy Burden,Outage Events,DOE
incomplete_plumbing_pct,0.0182795343429412,0.0004626452265944,39.5109109360094,0,0.0173758392971591,0.0191894717658545,1.01844762769146,Plumbing,Vulnerable Population,Incomplete Plumbing ,DOE
job_access,0.00837718543810312,0.00120288839756822,6.96422498964871,3.30216515979355e-12,0.00602105906006281,0.0107366142766636,1.00841237224287,Job Access,Vulnerable Population,Job Access,DOE
lead_paint_pct,0.0164877309389093,0.000913017577610905,18.0585033007281,6.76315663845249e-73,0.0147012522507934,0.0182804013074419,1.01662440368262,Lead Paint,Environment and Climate,Homes Built Before 1960,DOE
lessHS_pct,0.00413784821728841,0.00120201874300081,3.44241572053891,0.000576543484925144,0.00178382315669753,0.00649589775306822,1.00414642093134,High School Education,Vulnerable Population,Less HS Education ,DOE
linguistic_isolation_pct,0.00788211789916783,0.000730374976203853,10.7918783583405,3.7602434847611e-27,0.00645192102901348,0.00931508517638578,1.00791326356796,Linguistic Isolation,Vulnerable Population,Linguistic Isolation,DOE
lowincome_fpl_pct,0.0480706042371644,0.00172110869292731,27.9300223365931,1.1528137361941e-171,0.0447067176298485,0.0514536732959128,1.04924473383334,Low Income (below 200% FPL),Vulnerable Population,Low Income Population ,DOE
mobile_home_pct,0.0205651482350173,0.000693602708342114,29.649751922355,3.41661060327918e-193,0.019209850547422,0.0219288619412508,1.02077806796647,Mobile Home,Vulnerable Population,Mobile Home ,DOE
no_car_pct,0.0140453717793347,0.00113636341041987,12.3599296233457,4.30533491886604e-35,0.0118227046411131,0.0162774082073254,1.01414447143382,No Vehicle,Vulnerable Population,No Vehicle ,DOE
no_internet_pct,0.0228058780838597,0.00116278434706111,19.6131622699433,1.19373929541621e-85,0.0205309393011246,0.0250892160382212,1.02306792036463,No Internet,Vulnerable Population,Internet Access ,DOE
nongrid_heat_pct,0.0234686707669064,0.000888450180983681,26.4152917847596,9.14421840870459e-154,0.0217321884109946,0.0252150233896321,1.02374622706003,Heating Fuel,Energy Burden,Non-grid-connected heating fuel,DOE
over64_pct,0.0147013591723673,0.00094324261978565,15.5859784789073,9.06643822224677e-55,0.0128557911310593,0.0165534240910671,1.01480995567257,Population over 64,Vulnerable Population,Population 65 and older ,DOE
over_30min_commute_pct,0.00987832399913263,0.000869465017860408,11.3613817648942,6.51066189560773e-30,0.00817587063379333,0.0115842865493978,1.00992727569578,over 30min Commute,Vulnerable Population,>30 min commute ,DOE
renters_pct,0.0103117878509708,0.00139044327900821,7.41618734589884,1.20539960094098e-13,0.0075902544729044,0.013040963576129,1.01036513755457,Renters,Vulnerable Population,Renters ,DOE
single_parent_pct,0.020743381679297,0.000921699357516428,22.5055833121022,3.65966220974255e-112,0.0189415858521999,0.0225547891721149,1.02096002097195,Single Parent,Vulnerable Population,Single Parent ,DOE
unemployed_pct,0.0144656954146891,0.000759187398042487,19.0541827380011,6.065633516858e-81,0.0129803791728365,0.0159564905407835,1.01457082992283,Unemployment,Vulnerable Population,Unemployed ,DOE
unhoused_pct,0.0205366970478324,0.00100563689404065,20.4215827497298,1.07523607562621e-92,0.018569504962385,0.0225117414654865,1.02074902603173,Homelessness,Vulnerable Population,Homelessness ,DOE
uninsured_pct,0.0284778402248225,0.000959814079449446,29.6701630394477,1.86371075106307e-193,0.026601746165894,0.0303643389506641,1.02888721067263,No Health Insurance,Vulnerable Population,Uninsured ,DOE
(Intercept),-48.9430643629595,0.489815597051268,-99.9214085006705,0,-49.9108803489941,-47.9907437694868,5.55005414135285e-22,,,,DOT
annllsp,0.00378639186172738,0.000671796275774721,5.63622038148527,1.73822907770785e-08,0.00247023633381259,0.00510374411120109,1.0037935692994,Disaster Damages,Climate and Disaster,Estimated annualized loss due to disasters,DOT
arprtsp,0.0102313702425446,0.000729800560887881,14.0194058361603,1.18603458619708e-44,0.00880255445401062,0.0116634461788127,1.01028388967349,Airiports,Environmental Burden,Percent of tract within 5 miles of airports,DOT
asthmp,0.0231484591025605,0.00267949395082833,8.6391160149492,5.66496273989098e-18,0.0179004273485974,0.0284043050994291,1.02341846405637,Asthma,Health Vulnerability,Asthma prevalence,DOT
avghhtp,0.0278478099698963,0.00127166199496957,21.8987514607313,2.66996831811433e-106,0.0253585738085923,0.0303435989288176,1.0282391847604,Transportation Costs,Transportation Insecurity,Calculated average annual cost of Transportation as percent of household income,DOT
bldprsp,0.0352663879672895,0.00200191467346724,17.6163292245666,1.84601516729682e-69,0.0313454231944445,0.0391934657592341,1.03589562217711,High Blood Pressure,Health Vulnerability,High blood pressure prevalence,DOT
clmnsp,0.00358195762734179,0.00153213085848665,2.33789275080579,0.0193928124211223,0.000576356069562633,0.00658260726288912,1.0035883805041,Abandoned Coal Mines,Environmental Burden,Percent of tract within 1 mile of non-abandoned Coal Mines,DOT
cncrp,0.0111408237600304,0.00189507206688057,5.87883909785498,4.13153723730028e-09,0.00742778116967555,0.0148566564272724,1.01120311384308,Cancer,Health Vulnerability,Cancer prevalence,DOT
cncrtxp,-0.0016190260660186,0.000829714730075832,-1.95130447529915,0.0510208370245395,-0.0032459230184678,6.6426313087653e-06,0.998382283849658,Air Toxics,Environmental Burden,Air toxics cancer risk,DOT
dbtsp,0.046868181952571,0.00220864542171614,21.2203287552395,6.19891047503368e-100,0.0425479444660012,0.0512060577853089,1.04798385678863,Diabetes,Health Vulnerability,Diabetes prevalence,DOT
dslpmp,0.0141451524549601,0.00114643078709234,12.3384268934683,5.62440454505506e-35,0.0119003336233421,0.0163944632571637,1.01424566850303,Diesel PM,Environmental Burden,Diesel particulate matter level in air,DOT
endnqlp,0.00253147790133555,0.00067046616111605,3.77569823527213,0.000159560068044838,0.00121747937383575,0.00384577486335245,1.00253468479701,Income Inequality,Social Vulnerability,GINI Index,DOT
ftclrkp,0.0538000439528864,0.00151415358085813,35.531431311212,1.6083045997503e-276,0.0508404158527966,0.05677608689175,1.05527357272525,Climate Risk,Climate and Disaster,Future climate risk sub-component score,DOT
ftltspp,0.0183517700208963,0.000578161960221405,31.7415729216576,4.15026040425963e-221,0.0172214897253445,0.0194879442687824,1.0185211986035,Traffic Fatalities,Transportation Insecurity,"Traffic Fatalities per 100,000 people",DOT
hghvlrp,0.0223768347128348,0.000864057174214695,25.8974005200202,7.12420006873841e-148,0.0206867632460139,0.0240739565233921,1.02262907400408,Traffic,Environmental Burden,Percent of tract within 1 mile of high volume roads,DOT
hzrdstp,0.0242500524995827,0.000984359609326506,24.6353591409287,5.2821190391895e-134,0.0223245601866834,0.0261833521177478,1.0245464762701,Hazardous Sites,Environmental Burden,Percent of tract within 1 mile of known hazardous sites,DOT
imprdwp,0.00890202894360527,0.000617618464608877,14.413476043406,4.2573277011727e-47,0.00769287336928761,0.0101140015083219,1.0089417698406,Impaired Water,Environmental Burden,Percent of tract that intersects with a Watershed containing impaired water(s),DOT
ldmnsp,0.012993750345136,0.0197529775315698,0.657812237388971,0.51065878997217,-0.0174118958308367,0.0520813656338013,1.01307853594882,Abandoned Lead Mines,Environmental Burden,Percent of tract within 1 mile of non-abandoned Lead Mines,DOT
mnmpp,0.119303360005682,0.00174701296556915,68.289911040709,0,0.115898498259381,0.122747021738365,1.12671166570679,Green Space,Climate and Disaster,Average Percent Land classified as Impervious Surface per Tract,DOT
mntlhlp,0.0292100062239977,0.00273942641689617,10.6628183344648,1.51922595942535e-26,0.0238439155692893,0.0345827494338369,1.02964080274885,Poor Mental Health,Health Vulnerability,Poor mental health prevalence,DOT
oznp,-0.00292003099664792,0.00065905970606403,-4.43060161284421,9.39705541834451e-06,-0.00421235644143942,-0.00162877488876055,0.997084228147244,Ozone,Environmental Burden,Ozone level in the air,DOT
p17yngp,0.000794102262619701,0.000745057162953681,1.06582729769564,0.286501718633391,-0.000666266857239615,0.00225443324539132,1.0007944176453,Population under 18,Social Vulnerability,Percent of population 17 years or younger,DOT
p65ldrp,0.00579989786773099,0.00103741904139433,5.59069926067263,2.26156988336613e-08,0.00376728213347575,0.00783407048871066,1.00581674983952,Population over 64,Social Vulnerability,Percent of population 65 years or older,DOT
pdsbp,0.00735327057048297,0.000816529535234782,9.00551695091916,2.14652126614994e-19,0.00575378460848047,0.0089546649671781,1.00738037225247,Disabled Population,Social Vulnerability,Percent of population with a disability,DOT
phbrd7p,0.0255684087817747,0.000913159606770416,27.9999340665131,1.62778004045291e-172,0.0237824348338961,0.0273621182651859,1.02589808430819,Housing Costs,Social Vulnerability,Percent of occupied houses that spend 30% or more of their income on housing with less than 75k income,DOT
phstnrp,0.038901093126262,0.00108634332352998,35.8092071665303,7.94050958481642e-281,0.0367779453085671,0.041036524268351,1.03966764828786,Renters,Social Vulnerability,Percent of total housing units that are renter-occupied,DOT
plmngp,0.00706565371870486,0.000721494598821571,9.79307915852082,1.20567164338076e-22,0.00565245360521691,0.0084807842641501,1.00709067434425,Linguistic Isolation,Social Vulnerability,Percent of population (age 5+) with limited English proficiency,DOT
pm25p,0.00335232129119782,0.000750939573284147,4.46416916948035,8.03800395148424e-06,0.00188068926491585,0.00482444897383386,1.00335794660441,PM2.5,Environmental Burden,Particulate Matter 2.5 (PM2.5) level in the air,DOT
pmblhmp,0.00573752738998281,0.000613993986109389,9.34459867650987,9.22386070524809e-21,0.00453518082040847,0.0069421008850431,1.00575401852462,Mobile Homes,Social Vulnerability,Percent of total housing units that are mobile homes,DOT
pndplmp,0.025385606184347,0.00100866387511521,25.1675576082741,9.07946556081176e-140,0.0234123287312331,0.0273663944885067,1.02571056461375,High School Education,Social Vulnerability,Percent of people age 25+ with less than a high school diploma,DOT
pnmplyp,0.00341532159037383,0.000626904870695145,5.44791044068096,5.09650075595286e-08,0.00218682037285138,0.00464434989453551,1.00342116044645,Unemployment,Social Vulnerability,Percent of people age 16+ unemployed,DOT
pnnsrdp,0.00664097582726526,0.000805526019282059,8.24427227463635,1.66168394626528e-16,0.00506287668031412,0.00822062259279056,1.00666307600239,No Health Insurance,Social Vulnerability,Percent of population uninsured,DOT
pnntrnp,0.0206481199769694,0.000899973563411556,22.9430294582187,1.72957219480837e-116,0.0188869211129421,0.0224149132827053,1.02086276721469,No Internet,Social Vulnerability,Percent of households with no internet subscription,DOT
ppr80hp,0.00789702715884142,0.000801936406230249,9.84744812367834,7.03063603891521e-23,0.00632635751911257,0.00947003113055068,1.00792829092055,Lead Paint,Environmental Burden,Percent of houses built before 1980,DOT
ppvrtyp,0.0312591028475962,0.00129804093309962,24.0817543195283,3.88251660722024e-128,0.0287197618834629,0.0338082163844729,1.03175279934485,Low Income (below 200% FPL),Social Vulnerability,Percent of population with Income below 200% of poverty level,DOT
prtsp,0.0147758210470913,0.000924409134444959,15.9840707934622,1.65009072633312e-57,0.0129664745710388,0.0165902842762202,1.01488552313777,Ports,Environmental Burden,Percent of tract within 3 miles of ports,DOT
rlwysp,0.0167344772269093,0.000603671446269971,27.7211674169949,3.88077355136875e-169,0.0155537864593735,0.0179202401877865,1.01687528293101,Railways,Environmental Burden,Percent of tract within 1 mile of railways,DOT
rskmnsp,0.00745395485185425,0.000444264633126482,16.7781864592676,3.52435754355152e-63,0.00658416016415479,0.00832572223952757,1.00748180472756,RMP Sites,Environmental Burden,Percent of tract within 1 mile of known Risk Management Plan Sites,DOT
trnsacp,0.247412805376572,0.002685687735885,92.1226999217926,0,0.242187956957779,0.252716165780873,1.28070768669057,Transportation Access,Transportation Insecurity,Transportation access sub-component score,DOT
trtdspp,0.00598568885677528,0.000612989016643243,9.76475710699223,1.59493729705553e-22,0.00478498491686942,0.00718796425877528,1.00600363888888,TSD facilities,Environmental Burden,Percent of tract within 1 mile of known Treatment and Disposal Facilities,DOT
txcrlsp,0.019083656339751,0.000683906320767419,27.903904029337,2.39236565180147e-171,0.0177461909517949,0.0204271726667362,1.01926691319008,Toxic Release Sites,Environmental Burden,Percent of tract within 1 mile of known Toxics Release sites,DOT
(Intercept),-107.50724852661,9.32717636614663,-11.526237341969,9.73041502125279e-31,-127.317450232816,-90.6384704208386,2.04265584125614e-47,,,,NY State
Age_Over_65,0.0183327815117803,0.00863610398342452,2.12280694477126,0.033770032658086,0.00154614321794612,0.035486636600394,1.01850185858805,Population over 64,Health,Population over age 65,NY State
Agricultural_Land_Use,0.113040358569756,0.020147139175004,5.6107399461459,2.01463319834196e-08,0.0744825155716637,0.153778529494601,1.1196771206039,Agricultural Land,Climate Change Risks,Agricultural Land,NY State
Asian_Percent,0.0338497010681607,0.00948638742784341,3.56823936673815,0.000359388107893032,0.0155163152008549,0.0528276202284311,1.03442912145176,Asian,Race and Ethnicity,Asian population,NY State
Asthma_ED_Rate,-0.0356764403244013,0.0163828416396056,-2.17767107252952,0.0294305340334285,-0.0682067425299483,-0.00373488668082135,0.964952462683511,Asthma,Health,Asthma emergency department visits,NY State
Benzene_Concentration,0.0572841673110223,0.0182445250489604,3.13980041449675,0.00169062973096505,0.0220958264652051,0.0938886397010254,1.05895668851828,Benzene,Potential Pollution,Benzene air concentration,NY State
Black_African_American_Percent,0.0922238033269669,0.0119620893246592,7.70967352140167,1.26140007682555e-14,0.0698481244335396,0.11688695355105,1.09661021963494,African American,Race and Ethnicity,Black or African American population,NY State
COPD_ED_Rate,0.112929919705913,0.0147403662449778,7.66126959324297,1.84103931414159e-14,0.0854073918225199,0.14340621033557,1.11955347156279,COPD,Health,COPD emergency department visits,NY State
Coastal_Flooding_Storm_Risk,0.101590121752652,0.0111173937438591,9.13794402656356,6.36508646656338e-20,0.0810780238959539,0.124795626413529,1.106929672339,Coastal Flooding,Climate Change Risks,Projected flood risk for coastal areas,NY State
Days_Above_90_Degrees_2050,0.110725687501316,0.0131457570539636,8.42292209165171,3.67208668564837e-17,0.0862201071350313,0.137912465655428,1.1170884335022,Extreme Heat,Climate Change Risks,Projected days above 90 F,NY State
Drive_Time_Healthcare,0.105248564751577,0.0132113615337963,7.96651915719194,1.63206197516516e-15,0.0806455140908084,0.132617284140669,1.1109867281778,Access to Healthcare,Climate Change Risks,Driving time to healthcare facility,NY State
English_Proficiency,0.0351184547931086,0.00985421333946529,3.56380094314197,0.000365523186789768,0.0161967899142137,0.0549813517172673,1.03574239018392,Linguistic Isolation,Race and Ethnicity,Limited English proficiency,NY State
Health_Insurance_Rate,0.048340879278588,0.00909320196014258,5.31615590311051,1.05982353367299e-07,0.0311032955314259,0.0668582863332854,1.04952835682362,No Health Insurance,Health,Population without health insurance,NY State
Home_Energy_Affordability,0.0646971184486486,0.0110543768779696,5.85262463572996,4.83875377446368e-09,0.0438265667095711,0.087307073998476,1.06683585054752,Energy Burden,Housing Mobility & Communications,Energy affordability,NY State
Homes_Built_Before_1960,0.066559380964893,0.0097070294032658,6.85682284453574,7.04088542639653e-12,0.048326870557699,0.086507593644141,1.06882443001678,Lead Paint,Housing Mobility & Communications,Homes built before 1960,NY State
Household_Single_Parent,0.0478624978802082,0.0078794465322857,6.07434769486583,1.24492727719827e-09,0.0329015581087785,0.0638972124041569,1.04902640205313,Single Parent,Income,Single parent households,NY State
Households_Disabled,0.0674096871175589,0.00928478222761691,7.26023351598421,3.86422627761882e-13,0.0500560872979354,0.0865739311604434,1.06973364450629,Disabled Population,Health,Population with a disability,NY State
Housing_Vacancy_Rate,0.0392991628116408,0.00724682421861003,5.42294964333749,5.86235117586418e-08,0.0255491121614275,0.0540549154948704,1.04008159084504,Housing Vacancy,Land Use and Facility Siting,Housing vacancy rate,NY State
Industrial_Land_Use,0.0355177502230258,0.00612368334857884,5.80006316480564,6.62899447395002e-09,0.0239617957400566,0.0480422573996616,1.03615603996563,Industrial Land,Land Use and Facility Siting,"Industrial, mining, and manufacturing",NY State
Inland_Flooding_Risk,0.136344088345126,0.0150064692122571,9.0856874069859,1.03045449846688e-19,0.108545821312375,0.167585376090683,1.14607617721198,Inland Flooding,Climate Change Risks,Projected flood risk for inland areas,NY State
Internet_Access,0.066571732077532,0.0101356648858459,6.56806759372017,5.09724037705965e-11,0.047553763551046,0.0874167496164935,1.06883763126923,No Internet,Housing Mobility & Communications,Households without Internet access,NY State
LMI_80_AMI,0.120784213025427,0.0151003209610283,7.9987844852539,1.25653424272876e-15,0.0927969034712939,0.152176344208191,1.12838139608684,Low Household Income,Income,Population earning < 80% of area median income,NY State
LMI_Poverty_Federal,0.0936708170675415,0.0122549591456212,7.6435030059656,2.11390191703205e-14,0.0708990559311403,0.119075080146602,1.09819817831274,Poverty (below 100% FPL),Income,Poverty rate below 100% federal level,NY State
Latino_Percent,0.0669998874139346,0.0114359403558439,5.85871256137647,4.66469275392719e-09,0.0454149635550789,0.0903794696784411,1.06929535778684,Latino/Hispanic,Race and Ethnicity,Hispanic and Latino population,NY State
Low_Birth_Weight,0.0452829596015699,0.0127400188959849,3.55438716153247,0.000378861045537087,0.0208034898166026,0.0709268302764411,1.04632388541484,Low Birth Weight,Health,Low birth weight births,NY State
